Estado,Genero,Edad,cod_depto,nombre,cod_muni,municipio,Anio
Traslado,MASCULINO,39,1,Guatemala,1,Ciudad de Guatemala,2015
Activo,MASCULINO,50,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,51,1,Guatemala,66,San Miguel Petapa,2012
Traslado,MASCULINO,57,1,Guatemala,1,Ciudad de Guatemala,2011
Activo,MASCULINO,46,1,Guatemala,57,Mixco,2010
Traslado,FEMENINO,54,3,Sacatepequez,8,San Lucas Sacatepequez,2014
Activo,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,48,1,Guatemala,65,Villa Canales,2013
Traslado,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,46,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,54,1,Guatemala,57,Mixco,2019
Traslado,MASCULINO,44,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,44,1,Guatemala,64,Villa Nueva,2010
Activo,MASCULINO,51,1,Guatemala,1,Ciudad de Guatemala,2015
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,FEMENINO,47,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,FEMENINO,50,1,Guatemala,64,Villa Nueva,2012
Activo,MASCULINO,51,1,Guatemala,1,Ciudad de Guatemala,2014
Activo,MASCULINO,47,1,Guatemala,1,Ciudad de Guatemala,2011
Traslado,MASCULINO,48,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,43,1,Guatemala,63,Amatitlan,2010
Activo,MASCULINO,51,1,Guatemala,64,Villa Nueva,2018
Activo,FEMENINO,43,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,FEMENINO,46,1,Guatemala,1,Ciudad de Guatemala,2014
Traslado,MASCULINO,42,9,Quetzaltenango,1,Quetzaltenango,2010
Traslado,MASCULINO,44,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,50,1,Guatemala,64,Villa Nueva,2016
Traslado,MASCULINO,49,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,MASCULINO,49,1,Guatemala,64,Villa Nueva,2015
Activo,FEMENINO,48,1,Guatemala,57,Mixco,2016
Activo,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,44,1,Guatemala,66,San Miguel Petapa,2010
Activo,MASCULINO,41,1,Guatemala,57,Mixco,2010
Activo,MASCULINO,47,1,Guatemala,64,Villa Nueva,2016
Activo,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2013
Activo,FEMENINO,45,1,Guatemala,57,Mixco,2013
Activo,FEMENINO,41,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,51,1,Guatemala,57,Mixco,2019
Activo,MASCULINO,42,1,Guatemala,1,Ciudad de Guatemala,2010
Traslado,MASCULINO,45,1,Guatemala,1,Ciudad de Guatemala,2013
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2012
Activo,MASCULINO,50,1,Guatemala,1,Ciudad de Guatemala,2018
Activo,MASCULINO,46,1,Guatemala,1,Ciudad de Guatemala,2015
Activo,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2012
Traslado,MASCULINO,41,1,Guatemala,57,Mixco,2010
Traslado,MASCULINO,43,1,Guatemala,1,Ciudad de Guatemala,2010
Activo,FEMENINO,46,1,Guatemala,57,Mixco,2015
Traslado,MASCULINO,44,1,Guatemala,1,Ciudad de Guatemala,2011
