Depto,Muni,Nombre,Lat,Lon
4,11,Acatenango,14.555038,-90.944041
22,4,Agua Blanca,14.497781,-89.649232
1,63,Amatitlan,14.477957,-90.630915
3,1,Antigua Guatemala,14.556672,-90.733692
22,5,Asuncion Mita,14.333415,-89.711587
22,7,Atescatempa,14.175275,-89.741092
6,2,Barberena,14.305514,-90.360918
19,7,Cabañas,14.934045,-89.796378
20,5,Camotan,14.8166704,-89.3666687
9,14,Cantel,14.8166704,-91.4499969
12,16,Catarina,14.850455,-92.077725
4,1,Chimaltenango,14.667456,-90.820375
1,55,Chinautla,14.705282,-90.49713
20,1,Chiquimula,14.705282,-90.49713
6,8,Chiquimulilla,14.088689,-90.37968
1,1,Ciudad de Guatemala,14.628867,-90.51179
3,12,Ciudad Vieja,14.523103,-90.764837
9,20,Coatepeque,14.705032,-91.865766
16,1,Coban,15.467662,-90.384487
4,4,Comalapa,14.74024,-90.886427
22,11,Comalapa,14.11328,-89.914373
15,4,Cubulco,15.107199,-90.627508
6,1,Cuilapa,14.276527,-90.299506
4,16,El Tejar,14.642343,-90.781961
5,1,Escuintla,14.298907,-90.779603
20,7,Esquipulas,14.565365,-89.344973
19,2,Estanzuela,14.996668,-89.574602
17,1,Flores,16.930106,-89.891618
1,62,Fraijanes,14.468748,-90.444932
16,15,Fray Bartolome de las Casas,15.805705,-89.863937
9,21,Genova,14.624551,-91.834481
19,4,Gualan,15.12263,-89.35391
2,1,Guastatoya,14.858107,-90.067206
13,1,Huehuetenango,15.320824,-91.494178
20,11,Ipala,14.621541,-89.622023
14,19,Ixcan,15.988805,-90.769987
12,23,Ixchiguan,15.16328,-91.932467
13,7,Jacaltenango,15.665044,-91.712151
21,1,Jalapa,14.636032,-89.992018
22,12,Jalpatagua,14.135693,-90.008975
22,8,Jerez,14.095289,-89.767056
20,4,Jocotan,14.819471,-89.38809
3,2,Jocotan,14.580904,-90.742843
14,12,Joyabaj,14.993748,-90.8055
22,1,Jutiapa,14.284547,-89.87795
3,10,Magdalena Milpas Altas,14.547364,-90.674769
12,15,Malacatan,14.911818,-92.057115
10,1,Mazatenango,14.535708,-91.504892
1,57,Mixco,14.642153,-90.58907
22,14,Moyuta,14.041469,-90.081253
5,13,Nueva Concepcion,14.185635,-91.30203
12,18,Ocos,14.510058,-92.194755
6,6,Oratorio,14.233041,-90.178978
1,54,Palencia,14.669811,-90.357517
5,11,Palin,14.402397,-90.69953
7,10,Panajachel,14.744317,-91.151644
4,14,Parramos,14.610256,-90.802281
3,3,Pastores,14.600598,-90.758207
10,14,Patulul,14.423998,-91.15895
4,9,Patzicia,14.634372,-90.926637
4,7,Patzun,14.682229,-91.014688
17,12,Poptun,16.329731,-89.421759
6,13,Pueblo Nuevo Viñas,14.226697,-90.476081
18,1,Puerto Barrios,15.724912,-88.589841
5,9,Puerto de San Jose,13.931588,-90.816969
9,1,Quetzaltenango,14.849516,-91.524348
15,3,Rabinal,15.085197,-90.492904
11,1,Retalhuleu,14.535772,-91.68447
19,3,Rio Hondo,15.043218,-89.585223
15,1,Salama,15.104257,-90.316565
9,2,Salcaja,14.880962,-91.459251
4,13,San Andres Itzapa,14.620539,-90.842812
3,15,San Antonio Aguas Calientes,14.545553,-90.781338
2,8,San Antonio La Paz,14.758055,-90.285773
10,10,San Antonio Suchitepequez,14.54053,-91.415412
3,7,San Bartolome Milpas Altas,14.606622,-90.679602
17,3,San Benito,16.917626,-89.926726
9,4,San Carlos Sija,14.983802,-91.549795
11,5,San Felipe Retalhuleu,14.623451,-91.59497
17,6,San Francisco,16.798419,-89.934168
8,3,San Francisco El Alto,14.946339,-91.442149
1,53,San Jose del Golfo,14.764982,-90.371682
1,52,San Jose Pinula,14.542876,-90.412647
3,14,San Juan Alotenango,14.486884,-90.805092
14,11,San Juan Cotzal,15.436203,-91.033402
1,59,San Juan Sacatepequez,14.720861,-90.644965
10,7,San Lorenzo,15.030033,-91.735368
3,8,San Lucas Sacatepequez,14.606544,-90.660052
7,13,San Lucas Toliman,14.633417,-91.144466
21,3,San Luis Jilotepeque,14.647223,-89.726715
12,1,San Marcos,14.963748,-91.80473
11,4,San Martín Zapotitlan,14.607899,-91.602931
4,3,San Martin Jilotepeque,14.780909,-90.793913
3,13,San Martin Jilotepeque,14.521379,-90.798944
1,66,San Miguel Petapa,14.501781,-90.561519
1,56,San Pedro Ayampuc,14.777621,-90.453744
16,9,San Pedro Carcha,15.475601,-90.309763
1,58,San Pedro Sacatepequez,14.686984,-90.640926
12,2,San Pedro Sacatepequez,14.968265,-91.780924
4,12,San Pedro Yepocapa,14.499017,-90.955521
1,60,San Raymundo,14.768689,-90.592319
11,2,San Sebastian,14.562567,-91.651114
5,12,San Vicente Pacaya,14.413358,-90.636242
2,7,Sanarate,14.797578,-90.19651
4,5,Santa Apolonia,14.79007,-90.973856
1,51,Santa Catarina Pinula,14.561648,-90.466569
4,10,Santa Cruz Balanya,14.68574,-90.919429
14,1,Santa Cruz del Quiche,15.026362,-91.151351
6,12,Santa Cruz Naranjo,14.385228,-90.370842
16,2,Santa Cruz Verapaz,15.372962,-90.428982
5,2,Santa Lucía Cotzumalguapa,14.337154,-91.022201
3,9,Santa Lucía Milpas Altas,14.576579,-90.67211
3,11,Santa Maria de Jesus,14.493543,-90.709219
6,10,Santa Maria Ixhuatan,14.190253,-90.27468
14,13,Santa Maria Nebaj,15.408153,-91.147439
6,3,Santa Rosa de Lima,14.390621,-90.296288
7,19,Santiago Atitlan,14.643164,-91.228623
3,6,Santiago Sacatepequez,14.636056,-90.675241
3,5,Santo Domingo Xenacoj,14.681952,-90.701001
14,6,Santo Tomas Chichicastenango,14.942353,-91.110923
7,1,Solola,14.770461,-91.18161
3,4,Sumpango,14.647887,-90.73529
6,9,Taxisco,14.072294,-90.46306
4,6,Tecpan Guatemala,14.75409,-90.991473
19,5,Teculutan,14.991177,-89.716115
5,6,Tiquisate,14.287444,-91.366382
8,1,Totonicapan,14.913311,-91.361189
1,65,Villa Canales,14.475731,-90.518415
1,64,Villa Nueva,14.525341,-90.588416
19,1,Zacapa,14.970139,-89.53219
14,4,Zacualpa,15.026494,-90.878209
4,15,Zaragoza,14.649701,-90.891358
